"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"EE","2013","T","ED0-2","Y15-74","PC_ACT","15.0"
"IE","2013","T","ED0-2","Y15-74","PC_ACT","22.2"
"EL","2013","T","ED0-2","Y15-74","PC_ACT","29.8"
"ES","2013","T","ED0-2","Y15-74","PC_ACT","35.3"
"FR","2013","T","ED0-2","Y15-74","PC_ACT",":"
"FX","2013","T","ED0-2","Y15-74","PC_ACT","16.2"
"HR","2013","T","ED0-2","Y15-74","PC_ACT","21.5"
"IT","2013","T","ED0-2","Y15-74","PC_ACT","15.9"
"CY","2013","T","ED0-2","Y15-74","PC_ACT","19.3"
"LV","2013","T","ED0-2","Y15-74","PC_ACT","25.1"
"LT","2013","T","ED0-2","Y15-74","PC_ACT","32.8"
"LU","2013","T","ED0-2","Y15-74","PC_ACT","10.2"
"HU","2013","T","ED0-2","Y15-74","PC_ACT","23.7"
"MT","2013","T","ED0-2","Y15-74","PC_ACT","9.5"
"NL","2013","T","ED0-2","Y15-74","PC_ACT","11.3"
"AT","2013","T","ED0-2","Y15-74","PC_ACT","10.4"
"PL","2013","T","ED0-2","Y15-74","PC_ACT","20.5"
"PT","2013","T","ED0-2","Y15-74","PC_ACT","17.4"
"RO","2013","T","ED0-2","Y15-74","PC_ACT","6.7"
"SI","2013","T","ED0-2","Y15-74","PC_ACT","17.8"
"SK","2013","T","ED0-2","Y15-74","PC_ACT","42.4"
"FI","2013","T","ED0-2","Y15-74","PC_ACT","17.1"
"SE","2013","T","ED0-2","Y15-74","PC_ACT","18.8"
"UK","2013","T","ED0-2","Y15-74","PC_ACT","13.8"
"IS","2013","T","ED0-2","Y15-74","PC_ACT","8.4"
"NO","2013","T","ED0-2","Y15-74","PC_ACT","7.7"
"CH","2013","T","ED0-2","Y15-74","PC_ACT","8.3"
"ME","2013","T","ED0-2","Y15-74","PC_ACT","41.4"
"MK","2013","T","ED0-2","Y15-74","PC_ACT","34.3"
"RS","2013","T","ED0-2","Y15-74","PC_ACT",":"
"TR","2013","T","ED0-2","Y15-74","PC_ACT","8.1"
"EU28","2014","T","ED0-2","Y15-74","PC_ACT","18.5"
"EU15","2014","T","ED0-2","Y15-74","PC_ACT","18.8"
"EA19","2014","T","ED0-2","Y15-74","PC_ACT","20.1"
"EA18","2014","T","ED0-2","Y15-74","PC_ACT","20.1"
"EA17","2014","T","ED0-2","Y15-74","PC_ACT","20.1"
"BE","2014","T","ED0-2","Y15-74","PC_ACT","16.2"
"BG","2014","T","ED0-2","Y15-74","PC_ACT","28.3"
"CZ","2014","T","ED0-2","Y15-74","PC_ACT","22.1"
"DK","2014","T","ED0-2","Y15-74","PC_ACT","10.3"
"DE","2014","T","ED0-2","Y15-74","PC_ACT","11.8"
"EE","2014","T","ED0-2","Y15-74","PC_ACT","13.0"
"IE","2014","T","ED0-2","Y15-74","PC_ACT","19.8"
"EL","2014","T","ED0-2","Y15-74","PC_ACT","28.2"
"ES","2014","T","ED0-2","Y15-74","PC_ACT","33.8"
"FR","2014","T","ED0-2","Y15-74","PC_ACT","17.1"
"FX","2014","T","ED0-2","Y15-74","PC_ACT","16.3"
"HR","2014","T","ED0-2","Y15-74","PC_ACT","25.7"
"IT","2014","T","ED0-2","Y15-74","PC_ACT","16.6"
"CY","2014","T","ED0-2","Y15-74","PC_ACT","19.4"
"LV","2014","T","ED0-2","Y15-74","PC_ACT","24.0"
"LT","2014","T","ED0-2","Y15-74","PC_ACT","29.8"
"LU","2014","T","ED0-2","Y15-74","PC_ACT","10.2"
"HU","2014","T","ED0-2","Y15-74","PC_ACT","18.5"
"MT","2014","T","ED0-2","Y15-74","PC_ACT","9.0"
"NL","2014","T","ED0-2","Y15-74","PC_ACT","12.1"
"AT","2014","T","ED0-2","Y15-74","PC_ACT","11.4"
"PL","2014","T","ED0-2","Y15-74","PC_ACT","19.0"
"PT","2014","T","ED0-2","Y15-74","PC_ACT","15.3"
"RO","2014","T","ED0-2","Y15-74","PC_ACT","6.7"
"SI","2014","T","ED0-2","Y15-74","PC_ACT","15.4"
"SK","2014","T","ED0-2","Y15-74","PC_ACT","41.1"
"FI","2014","T","ED0-2","Y15-74","PC_ACT","17.2"
"SE","2014","T","ED0-2","Y15-74","PC_ACT","19.1"
"UK","2014","T","ED0-2","Y15-74","PC_ACT","11.3"
"IS","2014","T","ED0-2","Y15-74","PC_ACT","7.0"
"NO","2014","T","ED0-2","Y15-74","PC_ACT","7.5"
"CH","2014","T","ED0-2","Y15-74","PC_ACT","8.7"
"ME","2014","T","ED0-2","Y15-74","PC_ACT","32.2"
"MK","2014","T","ED0-2","Y15-74","PC_ACT","32.2"
"RS","2014","T","ED0-2","Y15-74","PC_ACT","18.2"
"TR","2014","T","ED0-2","Y15-74","PC_ACT","9.3"
"EU28","2015","T","ED0-2","Y15-74","PC_ACT","17.3"
"EU15","2015","T","ED0-2","Y15-74","PC_ACT","17.6"
"EA19","2015","T","ED0-2","Y15-74","PC_ACT","18.9"
"EA18","2015","T","ED0-2","Y15-74","PC_ACT","18.9"
"EA17","2015","T","ED0-2","Y15-74","PC_ACT","18.9"
"BE","2015","T","ED0-2","Y15-74","PC_ACT","16.8"
"BG","2015","T","ED0-2","Y15-74","PC_ACT","25.1"
"CZ","2015","T","ED0-2","Y15-74","PC_ACT","22.7"
"DK","2015","T","ED0-2","Y15-74","PC_ACT","9.7"
"DE","2015","T","ED0-2","Y15-74","PC_ACT","11.2"
"EE","2015","T","ED0-2","Y15-74","PC_ACT","12.2"
"IE","2015","T","ED0-2","Y15-74","PC_ACT","17.1"
"EL","2015","T","ED0-2","Y15-74","PC_ACT","26.7"
"ES","2015","T","ED0-2","Y15-74","PC_ACT","31.0"
"FR","2015","T","ED0-2","Y15-74","PC_ACT","17.6"
"FX","2015","T","ED0-2","Y15-74","PC_ACT","16.9"
"HR","2015","T","ED0-2","Y15-74","PC_ACT","21.5"
"IT","2015","T","ED0-2","Y15-74","PC_ACT","15.6"
"CY","2015","T","ED0-2","Y15-74","PC_ACT","18.5"
"LV","2015","T","ED0-2","Y15-74","PC_ACT","21.9"
"LT","2015","T","ED0-2","Y15-74","PC_ACT","26.3"
"LU","2015","T","ED0-2","Y15-74","PC_ACT","10.6"
"HU","2015","T","ED0-2","Y15-74","PC_ACT","17.4"
"MT","2015","T","ED0-2","Y15-74","PC_ACT","8.7"
"NL","2015","T","ED0-2","Y15-74","PC_ACT","11.2"
"AT","2015","T","ED0-2","Y15-74","PC_ACT","11.2"
"PL","2015","T","ED0-2","Y15-74","PC_ACT","16.9"
"PT","2015","T","ED0-2","Y15-74","PC_ACT","13.6"
"RO","2015","T","ED0-2","Y15-74","PC_ACT","8.1"
"SI","2015","T","ED0-2","Y15-74","PC_ACT","13.9"
"SK","2015","T","ED0-2","Y15-74","PC_ACT","37.6"
"FI","2015","T","ED0-2","Y15-74","PC_ACT","17.6"
"SE","2015","T","ED0-2","Y15-74","PC_ACT","18.9"
"UK","2015","T","ED0-2","Y15-74","PC_ACT","9.6"
"IS","2015","T","ED0-2","Y15-74","PC_ACT","6.1"
"NO","2015","T","ED0-2","Y15-74","PC_ACT","9.3"
"CH","2015","T","ED0-2","Y15-74","PC_ACT","8.8"
"ME","2015","T","ED0-2","Y15-74","PC_ACT","28.3"
"MK","2015","T","ED0-2","Y15-74","PC_ACT","29.9"
"RS","2015","T","ED0-2","Y15-74","PC_ACT","15.6"
"TR","2015","T","ED0-2","Y15-74","PC_ACT","9.7"
"EU28","2016","T","ED0-2","Y15-74","PC_ACT","16.1"
"EU15","2016","T","ED0-2","Y15-74","PC_ACT","16.4"
"EA19","2016","T","ED0-2","Y15-74","PC_ACT","17.8"
